Current (mA),Newport_Keithley_ChB,Keithley_ChB_PM,Newport_PM
0,2.17939e-06,-2.68295e-07,0.001086
1,2.27411e-06,-2.95011e-07,2.969e-06
2,2.46794e-06,-1.80832e-07,2.969e-06
3,2.68872e-06,1.05231e-07,3.25e-06
4,2.91598e-06,1.54862e-07,3.54e-06
5,3.16293e-06,1.113526e-06,3.83e-06
6,3.4205e-06,9.73986e-07,4.15e-06
7,3.70547e-06,1.24646e-06,4.49e-06
8,4.01603e-06,1.630032e-06,4.86e-06
9,4.34681e-06,2.286218e-06,5.27e-06
10,4.73552e-06,2.530519e-06,5.71e-06
11,5.19586e-06,3.013306e-06,6.21e-06
12,5.73262e-06,3.638552e-06,6.8e-06
13,6.41604e-06,4.299065e-06,7.48e-06
14,7.30515e-06,5.205783e-06,8.37e-06
15,8.62837e-06,6.455331e-06,9.52e-06
16,1.25583e-05,8.456466e-06,1.123e-05
17,2.70622e-05,1.5779786e-05,1.431e-05
18,0.000114546,0.000104184242,3.26e-05
19,0.000225142,0.000230601365,0.0001472
20,0.000333129,0.000323077134,0.0002865
21,0.000439465,0.000457748928,0.00043
22,0.000547234,0.000594436681,0.000568
23,0.000652062,0.000727254852,0.00071
24,0.000762578,0.000866511837,0.000843
25,0.000871027,0.001009295511,0.000985
26,0.000981716,0.001151226088,0.001124
27,0.000668923,0.001287637206,0.001266
28,0.000839212,0.001432864218,0.001407
29,0.000989784,0.001586173292,0.001558
30,0.00114294,0.00179051085,0.001703
31,0.00129799,0.00189251812,0.001855
32,0.00146254,0.002035126205,0.0
33,0.00162485,0.002191433545,0.0
34,0.00175576,0.00238810979,0.0
35,0.00187908,0.0024953516,0.0
36,0.00200135,0.00264231628,0.0
37,0.00212395,0.002791881665,0.0
38,0.00224115,0.002946499375,0.0
39,0.00236435,0.00310182938,0.0
40,0.00248341,0.003250566515,0.0
41,0.00260691,0.00340765241,0.0
42,0.00272877,0.00355269555,0.0
43,0.0028523,0.003702592235,0.0
44,0.00297374,0.003860522945,0.0
45,0.00309889,0.00401118162,0.0
46,0.00322214,0.00416391092,0.0
47,0.0033484,0.004315464105,0.0
48,0.00346607,0.00446963456,0.0
49,0.00358455,0.00462547808,0.0
50,0.00370917,0.00477529194,0.0
51,0.00383329,0.00492865071,
52,0.00395717,0.00508343407,
53,0.00408514,0.00524143104,
54,0.00420212,0.005390996425,
55,0.00432493,0.00554857927,
56,0.00445014,0.005699502985,
57,0.00456851,0.00585774843,
58,0.00469153,0.006012614615,
59,0.00481368,0.00616297512,
60,0.00493528,0.00632093896,
61,0.00505693,0.006475308195,
62,0.00518454,0.006628932005,
63,0.00530186,0.006785007435,
64,0.00542582,0.00693453969,
65,0.00554612,0.007096031875,
66,0.00566886,0.00724592856,
67,0.00578816,0.00740276598,
68,0.0059171,0.00756719017,
69,0.00603616,0.007722354525,
70,0.00616014,0.007881411655,
71,0.00627562,0.00803975649,
72,0.00640095,0.008184551155,
73,0.00652308,0.00833842344,
74,0.00664281,0.00849615537,
75,0.00676619,0.008651485375,
76,0.00688799,0.008801829315,
77,0.00700929,0.008961118355,
78,0.0071342,0.009116100495,
79,0.00725665,0.009275290145,
80,0.00737617,0.00943363498,
81,0.00748192,0.009602382635,
82,0.00759188,0.009749877395,
83,0.00771273,0.009913108905,
84,0.00783292,0.01006923403,
85,0.00795364,0.0102249119,
86,0.00807295,0.010376962035,
87,0.00819695,0.01053050302,
88,0.00831974,0.010690537485,
89,0.00843923,0.010846762,
90,0.00855976,0.01100472584,
91,0.00867416,0.011159625155,
92,0.00879581,0.0113085942,
93,0.00891603,0.011465348795,
94,0.00903753,0.01162551578,
95,0.00915522,0.011778029735,
96,0.00927695,0.0119340886,
97,0.00940136,0.012097634845,
98,0.00952423,0.01224925429,
99,0.00964567,0.012401569465,
100,0.0097658,0.01256249844,
101,0.00988654,0.012722698555,
102,0.0100028,0.01287882368,
103,0.0101191,0.013028985405,
104,0.0102417,0.01318925178,
105,0.0103638,0.01334728188,
106,0.0104944,0.013499497665,
107,0.0106109,0.013649609695,
108,0.010736,0.01379784988,
109,0.0108703,0.013962953235,
110,0.0109965,0.014128702625,
111,0.0111182,0.014286103255,
112,0.0112377,0.014441449825,
113,0.0113489,0.014592688275,
114,0.0114735,0.014748134235,
115,0.0115938,0.014907920225,
116,0.0117159,0.01505745248,
117,0.011835,0.015217718855,
118,0.0119556,0.015369851815,
119,0.0120787,0.01552740153,
120,0.0121916,0.015682698405,
121,0.0123137,0.0158440912,
122,0.0124339,0.01600381093,
123,0.0125558,0.01615637458,
124,0.0126706,0.01631357643,
125,0.0127894,0.016469834075,
126,0.012913,0.01668443365,
127,0.0130326,0.0167876336,
128,0.0131478,0.01693125215,
129,0.0132669,0.01708596925,
130,0.0133848,0.01724731235,
131,0.0135072,0.01740434855,
132,0.0136266,0.0175589,
133,0.0137466,0.0177136171,
134,0.0138667,0.0178689968,
135,0.0139837,0.01802272,
136,0.0141067,0.0181767745,
137,0.0142263,0.0183328168,
138,0.0143477,0.01848935605,
139,0.0144638,0.0186362876,
140,0.0145857,0.0187929925,
141,0.0147066,0.0189483722,
142,0.0148283,0.0191077275,
143,0.014948,0.01926327285,
144,0.0150536,0.01941533955,
145,0.0151841,0.01956906275,
146,0.0153005,0.01971781645,
147,0.0154195,0.01987684045,
148,0.0155375,0.02003222015,
149,0.0156656,0.02019323195,
150,0.0157859,0.02034297955,
