Current (mA),Newport_Keithley_ChB,Keithley_ChB_PM,Newport_PM
0,0.740837,0.749024,0.745626
1,0.901253,0.902534,0.901935
2,0.942815,0.942593,0.94261
3,0.96523,0.964954,0.965016
4,0.980498,0.980224,0.980178
5,0.992754,0.992334,0.992281
6,1.00286,1.0026,1.00291
7,1.01186,1.01157,1.01184
8,1.01977,1.01943,1.01986
9,1.02685,1.02663,1.02696
10,1.03352,1.03314,1.03353
11,1.0398,1.03944,1.03985
12,1.04562,1.04528,1.04562
13,1.05112,1.05084,1.0512
14,1.05638,1.05606,1.05632
15,1.06147,1.06105,1.06141
16,1.06617,1.06578,1.06615
17,1.07069,1.07032,1.07071
18,1.07439,1.0741,1.07448
19,1.07803,1.07764,1.07813
20,1.08166,1.08131,1.08176
21,1.08515,1.08481,1.08524
22,1.08864,1.08834,1.08892
23,1.09209,1.09178,1.09234
24,1.0956,1.09528,1.09579
25,1.09902,1.09872,1.09928
26,1.10242,1.10213,1.10269
27,1.10571,1.10544,1.10607
28,1.10907,1.1088,1.10932
29,1.11233,1.112,1.11251
30,1.1155,1.11519,1.11577
31,1.1187,1.11845,1.11888
32,1.12192,1.12162,1.12209
33,1.12507,1.1247,1.12514
34,1.12821,1.12784,1.12827
35,1.13118,1.13089,1.13134
36,1.13423,1.13387,1.13439
37,1.13734,1.13701,1.13754
38,1.14026,1.13992,1.14043
39,1.1433,1.14296,1.14358
40,1.14622,1.1459,1.14653
41,1.14921,1.14883,1.14947
42,1.15207,1.15166,1.15233
43,1.15506,1.15462,1.15537
44,1.15787,1.15747,1.15826
45,1.16086,1.16042,1.16119
46,1.16367,1.1632,1.16405
47,1.16658,1.16604,1.16693
48,1.1693,1.16886,1.16966
49,1.17212,1.17169,1.17249
50,1.1749,1.17444,1.17517
51,1.1777,1.17724,
52,1.18053,1.17997,
53,1.18337,1.18273,
54,1.18599,1.18539,
55,1.18872,1.1881,
56,1.19149,1.19085,
57,1.19412,1.19348,
58,1.19684,1.19615,
59,1.19945,1.19877,
60,1.20214,1.20144,
61,1.20475,1.20399,
62,1.20741,1.20664,
63,1.20993,1.20917,
64,1.21259,1.21181,
65,1.21516,1.21434,
66,1.21767,1.21697,
67,1.22021,1.21951,
68,1.22285,1.22204,
69,1.22533,1.22456,
70,1.22787,1.22719,
71,1.23027,1.22946,
72,1.23276,1.23191,
73,1.23527,1.23441,
74,1.23771,1.23684,
75,1.24015,1.23929,
76,1.24259,1.24171,
77,1.245,1.24416,
78,1.24748,1.24661,
79,1.24989,1.24899,
80,1.25223,1.25139,
81,1.25466,1.2538,
82,1.257,1.25619,
83,1.25936,1.25861,
84,1.26172,1.26092,
85,1.2641,1.26332,
86,1.26636,1.26555,
87,1.26877,1.2679,
88,1.27108,1.27017,
89,1.27332,1.27254,
90,1.27564,1.2748,
91,1.27778,1.27704,
92,1.28007,1.27936,
93,1.28236,1.28157,
94,1.28458,1.28378,
95,1.28677,1.28604,
96,1.28904,1.28835,
97,1.29125,1.29057,
98,1.2935,1.29279,
99,1.29575,1.29485,
100,1.29793,1.29716,
101,1.30006,1.2993,
102,1.30213,1.3015,
103,1.30431,1.30366,
104,1.30647,1.30588,
105,1.30863,1.30797,
106,1.3109,1.31019,
107,1.31294,1.31216,
108,1.31513,1.31429,
109,1.31725,1.31657,
110,1.31928,1.31861,
111,1.32143,1.32074,
112,1.32349,1.32284,
113,1.32549,1.32496,
114,1.3276,1.32698,
115,1.3297,1.32904,
116,1.33174,1.33108,
117,1.33381,1.33318,
118,1.33591,1.33517,
119,1.33797,1.33728,
120,1.33998,1.33928,
121,1.34203,1.3414,
122,1.34404,1.34337,
123,1.34608,1.34543,
124,1.34804,1.34738,
125,1.34999,1.34938,
126,1.35202,1.35139,
127,1.35399,1.35317,
128,1.35594,1.35534,
129,1.35793,1.35729,
130,1.35984,1.35927,
131,1.36185,1.36124,
132,1.36379,1.36317,
133,1.36576,1.36506,
134,1.36767,1.36703,
135,1.36959,1.36892,
136,1.37155,1.37088,
137,1.37344,1.37277,
138,1.37534,1.37468,
139,1.3772,1.37653,
140,1.37912,1.37847,
141,1.38102,1.38033,
142,1.38292,1.38224,
143,1.38477,1.38411,
144,1.3865,1.38594,
145,1.38845,1.38767,
146,1.39026,1.38964,
147,1.39204,1.39154,
148,1.39389,1.3934,
149,1.39582,1.39521,
150,1.39764,1.39699,
