Current (mA),Newport_Keithley_ChB,Keithley_ChB_PM,Newport_PM
0,5.29825e-07,-5.2091293e-05,4e-06
1,6.63188e-07,-5.2197309e-05,
2,8.87207e-07,-5.207655e-05,3.04e-06
3,1.14778e-06,-5.1887212e-05,3.32e-06
4,1.41195e-06,-5.1566182e-05,3.64e-06
5,1.69183e-06,-5.1309591e-05,3.96e-06
6,1.985e-06,-5.0919485e-05,4.32e-06
7,2.3118e-06,-5.0550582e-05,4.68e-06
8,2.6596e-06,-5.0118236e-05,5.09e-06
9,3.04655e-06,-4.9717528e-05,5.52e-06
10,3.47411e-06,-4.9220413e-05,6e-06
11,3.97924e-06,-4.8686854e-05,6.54e-06
12,4.57957e-06,-4.7983835e-05,7.17e-06
13,5.33348e-06,-4.7240233e-05,7.91e-06
14,6.27327e-06,-4.6192331e-05,8.83e-06
15,7.71346e-06,-4.4830025e-05,1.004e-05
16,5.23199e-06,-4.2676244e-05,1.182e-05
17,1.92874e-05,-3.5462683e-05,1.485e-05
18,0.00012901,2.0094505e-05,3.03e-05
19,0.000267245,0.00015388388,0.0001623
20,0.000408426,0.000404475888,0.000332
21,0.00054302,0.000523646154,0.000509
22,0.000682577,0.00069857918,0.000675
23,0.000816929,0.000872082647,0.000847
24,0.000955752,0.001051685346,0.001011
25,0.000983083,0.001221368923,0.00118
26,0.00111249,0.001407170246,0.001346
27,0.00124061,0.001581558284,0.001522
28,0.00137773,0.001828825695,0.001684
29,0.00151009,0.001941467695,0.001857
30,0.00165194,0.00212118138,0.0
31,0.00179445,0.002309243825,0.0
32,0.00194651,0.00249836643,0.0
33,0.00209299,0.0026924751,0.0
34,0.00225067,0.00288605369,0.0
35,0.00240458,0.00307386766,0.0
36,0.00255453,0.003270742685,0.0
37,0.00270614,0.00346433784,0.0
38,0.00285832,0.003659688885,0.0
39,0.00301065,0.00384831454,0.0
40,0.00316236,0.004048469435,0.0
41,0.00331416,0.004245990495,0.0
42,0.00346377,0.00443236331,0.0
43,0.0036197,0.004632584465,0.0
44,0.00376656,0.00482975766,0.0
45,0.00392116,0.005025572525,0.0
46,0.00406987,0.00522251381,0.0
47,0.0042221,0.005415346975,0.0
48,0.00436654,0.00560973725,0.0
49,0.00452044,0.005800416965,0.0
50,0.00466764,0.00600169828,0.0
51,0.00481568,0.00619577382,
52,0.00496382,0.006386055975,
53,0.00511601,0.00658418994,
54,0.00526168,0.0067737598,
55,0.00541448,0.00696376035,
56,0.00556678,0.00715790215,
57,0.00571589,0.00735509191,
58,0.00586692,0.007547328735,
59,0.00601665,0.007750415635,
60,0.00617096,0.007946942795,
61,0.0063212,0.008139560615,
62,0.00647532,0.00834475127,
63,0.00662678,0.008524233045,
64,0.00677468,0.00872501741,
65,0.00692536,0.00891541552,
66,0.00707607,0.009115007205,
67,0.00722648,0.009319949385,
68,0.00738045,0.00951523417,
69,0.0075287,0.009709922615,
70,0.00768149,0.00991299295,
71,0.00783351,0.0101119386,
72,0.00798195,0.010309840655,
73,0.00814043,0.010506831635,
74,0.00829038,0.01070566133,
75,0.00842048,0.01090265231,
76,0.00855635,0.011097440145,
77,0.00870638,0.01129348692,
78,0.00885707,0.011497087335,
79,0.00901088,0.011695569165,
80,0.0091636,0.011895707495,
81,0.00931671,0.01208940204,
82,0.00947016,0.012289656325,
83,0.00963035,0.01248875106,
84,0.00978695,0.012693842325,
85,0.00994581,0.012884770515,
86,0.01012,0.013091269805,
87,0.0102739,0.01328267838,
88,0.0104282,0.01348208785,
89,0.0105829,0.01368795767,
90,0.0107332,0.013884402005,
91,0.0108832,0.014083281395,
92,0.0110388,0.01427753915,
93,0.0111881,0.01446995819,
94,0.0113404,0.01467175302,
95,0.0114912,0.01487016859,
96,0.0116463,0.01507825812,
97,0.0117938,0.015277054685,
98,0.0119479,0.015477689965,
99,0.012099,0.015675509195,
100,0.0122564,0.0158656257,
101,0.012404,0.01607308576,
102,0.0125547,0.01627299218,
103,0.0127047,0.01646474862,
104,0.012861,0.0167432394,
105,0.0130134,0.0168707899,
106,0.0131658,0.01706112175,
107,0.0133103,0.01725493225,
108,0.01346,0.0174485771,
109,0.0136173,0.01764884795,
110,0.013765,0.01784762795,
111,0.0139201,0.01804243235,
112,0.0140698,0.0182483353,
113,0.0142295,0.01844065495,
114,0.014381,0.01864804875,
115,0.014533,0.01884484095,
116,0.0146843,0.01904395225,
117,0.014838,0.01923312455,
118,0.0149886,0.01943687405,
119,0.0151447,0.01963532275,
120,0.0152957,0.01983178365,
121,0.0154232,0.0200284102,
122,0.0155778,0.0202242085,
123,0.0157308,0.0204210007,
124,0.0158834,0.02061795855,
125,0.0160336,0.0208125973,
126,0.0161843,0.02100027875,
127,0.0163274,0.021196574,
128,0.0164761,0.02139717615,
129,0.016626,0.02158667975,
130,0.0167747,0.0217899323,
131,0.0169395,0.02198755275,
132,0.0170926,0.0221815289,
133,0.0172379,0.0223776585,
134,0.0173894,0.02256964685,
135,0.0175376,0.0227652795,
136,0.0176856,0.0229574335,
137,0.0178366,0.0231509127,
138,0.0179779,0.02334455755,
139,0.0181165,0.0235391963,
140,0.0182628,0.02373085335,
141,0.0184079,0.02392168215,
142,0.0185551,0.02413006985,
143,0.0186961,0.02432619945,
144,0.018838,0.02451835345,
145,0.0189818,0.0247103418,
146,0.0191211,0.02490332405,
147,0.0192626,0.0250943185,
148,0.0194017,0.0252838221,
149,0.0195386,0.0254773013,
150,0.0196788,0.0256717744,
