Current (mA),Newport_Keithley_ChB,Keithley_ChB_PM,Newport_PM
0,0.77562,0.698939,0.731912
1,0.903221,0.884272,0.895198
2,0.938954,0.930748,0.931406
3,0.959057,0.95408,0.958652
4,0.973345,0.969407,0.973783
5,0.984764,0.98162,0.984863
6,0.994278,0.991556,0.994138
7,1.00302,1.00063,1.00294
8,1.01026,1.0083,1.01024
9,1.01712,1.01544,1.01729
10,1.02344,1.02158,1.02348
11,1.02929,1.02771,1.02954
12,1.03477,1.03328,1.03473
13,1.04,1.0386,1.04009
14,1.04485,1.04364,1.04517
15,1.04974,1.04859,1.04991
16,1.05417,1.05314,1.05443
17,1.05865,1.05778,1.05889
18,1.06281,1.06195,1.06311
19,1.06685,1.06606,1.06707
20,1.07085,1.07014,1.07116
21,1.07429,1.07384,1.07466
22,1.0774,1.07697,1.07769
23,1.08044,1.08013,1.08079
24,1.08351,1.08341,1.08392
25,1.08659,1.08648,1.08701
26,1.08968,1.08962,1.09008
27,1.09261,1.09259,1.09303
28,1.0957,1.09569,1.09606
29,1.09859,1.09864,1.09905
30,1.10159,1.10166,1.10196
31,1.10454,1.10459,1.10491
32,1.10736,1.10755,1.10778
33,1.11015,1.11039,1.11067
34,1.11305,1.11318,1.11348
35,1.1158,1.11601,1.11624
36,1.11857,1.11876,1.11907
37,1.12139,1.12155,1.12191
38,1.12412,1.12435,1.12463
39,1.12686,1.12712,1.12745
40,1.12957,1.12982,1.13015
41,1.13224,1.13256,1.13302
42,1.13494,1.13524,1.13564
43,1.13762,1.13794,1.13835
44,1.14026,1.1406,1.14092
45,1.14299,1.14332,1.14364
46,1.14558,1.14592,1.1462
47,1.14819,1.14852,1.14883
48,1.15078,1.15114,1.15135
49,1.1534,1.15377,1.15404
50,1.15593,1.15635,1.15659
51,1.15854,1.15893,
52,1.16104,1.16154,
53,1.16357,1.16413,
54,1.16611,1.16663,
55,1.16854,1.16908,
56,1.17103,1.17163,
57,1.17347,1.17413,
58,1.17604,1.17665,
59,1.17852,1.17896,
60,1.18096,1.1815,
61,1.1833,1.18374,
62,1.18575,1.18628,
63,1.18814,1.18933,
64,1.1906,1.19167,
65,1.19297,1.19379,
66,1.1953,1.1956,
67,1.19778,1.19913,
68,1.20013,1.20149,
69,1.20248,1.20383,
70,1.20483,1.20616,
71,1.20713,1.20812,
72,1.20945,1.21022,
73,1.21187,1.21267,
74,1.21411,1.21489,
75,1.21648,1.21726,
76,1.2187,1.21954,
77,1.2211,1.22179,
78,1.22332,1.22406,
79,1.22557,1.22697,
80,1.22776,1.22919,
81,1.23004,1.23106,
82,1.23217,1.23371,
83,1.23451,1.236,
84,1.23666,1.23818,
85,1.23889,1.24006,
86,1.24097,1.2426,
87,1.24322,1.24478,
88,1.2454,1.24696,
89,1.24762,1.24918,
90,1.24979,1.25131,
91,1.2519,1.2534,
92,1.25404,1.25561,
93,1.25606,1.25779,
94,1.25825,1.25995,
95,1.26035,1.26103,
96,1.26259,1.26311,
97,1.26464,1.2656,
98,1.26681,1.26845,
99,1.26887,1.27015,
100,1.27096,1.27268,
101,1.27299,1.27473,
102,1.27512,1.27678,
103,1.27717,1.27886,
104,1.27924,1.28093,
105,1.2813,1.2831,
106,1.28336,1.28511,
107,1.28539,1.28716,
108,1.2874,1.28919,
109,1.28945,1.29125,
110,1.29143,1.29328,
111,1.29347,1.2953,
112,1.29544,1.29729,
113,1.2975,1.29932,
114,1.29947,1.30131,
115,1.30147,1.30321,
116,1.30341,1.30527,
117,1.30538,1.30735,
118,1.30734,1.30931,
119,1.3093,1.31123,
120,1.31125,1.31315,
121,1.31322,1.31518,
122,1.31511,1.31711,
123,1.317,1.31907,
124,1.31895,1.32097,
125,1.32081,1.3229,
126,1.32279,1.32481,
127,1.32464,1.32673,
128,1.32652,1.32866,
129,1.32841,1.33055,
130,1.33031,1.33247,
131,1.33221,1.33435,
132,1.33416,1.33624,
133,1.33596,1.33815,
134,1.33784,1.34008,
135,1.33972,1.34192,
136,1.34153,1.3438,
137,1.34338,1.3457,
138,1.34524,1.34759,
139,1.34708,1.34944,
140,1.34887,1.35127,
141,1.35074,1.35312,
142,1.35257,1.35497,
143,1.35436,1.3568,
144,1.35553,1.35854,
145,1.35675,1.3603,
146,1.35854,1.36217,
147,1.36027,1.36402,
148,1.36237,1.36578,
149,1.36387,1.36762,
150,1.36572,1.36934,
